id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria
500030,Hector Dominguez,F,2026-01-09,364.01,Villa Nueva,Education
500031,Gabriela Perez,M,2026-01-21,99.65,Escuintla,Education
500032,Fernando Solis,F,2026-02-17,253.74,Amatitlan,Services
500033,Elena Ruiz,M,2026-01-15,175.62,No especificado,Food
500034,Ricardo Lopez,M,2026-02-10,461.87,Villa Nueva,Services
500035,Ricardo Paz,F,2026-01-28,66.94,No especificado,Retail
500036,Gustavo Molina,F,2026-01-31,124.74,Antigua,Services
500037,Carmen Herrera,M,2026-02-26,342.55,Mixco,Services
500038,Miguel Ramirez,M,2026-02-19,247.22,Mixco,Education
500039,Gabriela Morales,M,2026-02-20,106.23,Escuintla,Education
500040,Miguel Solis,F,2026-02-02,364.17,Quetzaltenango,Food
500041,Elena Cruz,M,2026-02-28,273.67,Amatitlan,Retail
500042,Andrea Paz,M,2026-02-28,449.44,Mixco,Education
500043,Luis Paz,F,2026-01-09,333.28,Antigua,Services
500044,Elena Ruiz,F,2026-01-13,404.9,Escuintla,Food
500045,Oscar Mendez,M,2026-01-19,372.29,Villa Nueva,Education
500046,Gustavo Ortega,F,2026-02-03,163.52,Quetzaltenango,Retail
500047,Juan Soto,M,2026-02-19,111.34,Quetzaltenango,Services
500048,Laura Ramirez,F,2026-01-30,297.35,Villa Nueva,Education
500049,Laura Soto,F,2026-03-01,272.32,Guatemala,Food
500050,Carmen Diaz,F,2026-01-22,6.53,Antigua,Food
500051,Maria Perez,M,2026-02-25,239.84,Antigua,Education
500052,Ricardo Morales,M,2026-02-05,169.75,Escuintla,Food
500053,Fernando Castillo,F,2026-02-13,350.47,Quetzaltenango,Food
500054,Jose Aguilar,F,2026-01-15,429.88,Villa Nueva,Food
500055,Diana Solis,F,2026-02-05,51.28,Chimaltenango,Food
500056,Isabel Castillo,F,2026-02-18,468.48,Amatitlan,Services
500057,Andrea Aguilar,F,2026-02-23,76.26,Amatitlan,Food
500058,Sofia Fuentes,F,2026-02-22,68.26,No especificado,Education
500059,Rene Alvarez,F,2026-02-28,442.52,Guatemala,Services
500060,Gabriela Morales,F,2026-01-08,161.91,Escuintla,Retail
500061,Elena Nunez,F,2026-02-16,48.52,Amatitlan,Food
500062,Valeria Alvarez,M,2026-01-29,272.02,Amatitlan,Food
500063,Hector Torres,M,2026-02-11,2.11,Amatitlan,Education
500064,Diana Reyes,M,2026-01-17,443.63,Mixco,Retail
500065,Rene Hernandez,F,2026-01-01,395.67,Amatitlan,Services
500066,Patricia Aguilar,F,2026-01-05,449.85,Antigua,Food
500067,Carlos Rojas,F,2026-02-28,135.16,Escuintla,Food
500068,Maria Cruz,F,2026-02-23,117.68,Amatitlan,Food
500069,Ana Nunez,F,2026-01-19,326.51,Quetzaltenango,Retail
500070,Paola Rojas,F,2026-01-26,370.08,Guatemala,Education
500071,Diana Mendez,M,2026-01-15,222.38,Guatemala,Services
500072,Valeria Ramirez,F,2026-01-09,151.73,No especificado,Education
500073,Gustavo Dominguez,M,2026-02-21,179.54,Chimaltenango,Retail
500074,Isabel Morales,F,2026-02-10,228.13,Chimaltenango,Services
500075,Andrea Nunez,F,2026-01-05,196.13,Antigua,Services
500076,Gabriela Torres,F,2026-01-13,250.28,Escuintla,Retail
500077,Diana Aguilar,F,2026-02-03,208.59,Chimaltenango,Food
500078,Valeria Ruiz,M,2026-02-24,333.69,Mixco,Services
500079,Monica Morales,M,2026-03-01,74.55,Guatemala,Services
500080,Gustavo Alvarez,M,2026-01-14,39.82,Guatemala,Food
500081,Patricia Ruiz,F,2026-02-06,176.0,Antigua,Food
500082,Valeria Ramirez,F,2026-01-02,305.16,Villa Nueva,Education
500083,Maria Paz,M,2026-01-11,469.06,Quetzaltenango,Food
500084,Isabel Alvarez,M,2026-01-13,59.46,Villa Nueva,Food
500085,Luis Perez,F,2026-01-27,379.91,Villa Nueva,Food
500086,Gustavo Mejia,M,2026-01-21,425.24,Mixco,Services
500087,Miguel Mejia,F,2026-02-13,295.37,Antigua,Food
500088,Diana Mazariegos,M,2026-01-29,253.74,Guatemala,Services
500089,Monica Cruz,M,2026-01-21,253.74,No especificado,Services
500090,Paola Ramirez,F,2026-02-24,87.13,Quetzaltenango,Education
500091,Diana Morales,F,2026-02-07,253.74,Chimaltenango,Services
500092,Laura Dominguez,F,2026-02-11,2.82,Quetzaltenango,Services
500093,Carmen Ramirez,M,2026-02-14,273.22,Amatitlan,Services
500094,Valeria Paz,M,2026-01-21,491.69,Guatemala,Food
500095,Carmen Lopez,F,2026-02-23,105.14,Antigua,Education
500096,Monica Fuentes,F,2026-01-02,182.09,Mixco,Retail
500097,Andrea Mejia,F,2026-01-19,450.99,Antigua,Education
500098,Miguel Ramirez,M,2026-01-10,90.47,Quetzaltenango,Education
500099,Paola Ramirez,M,2026-01-01,495.08,Escuintla,Services
500100,Andrea Ruiz,M,2026-03-01,389.3,Escuintla,Education
500101,Luis Hernandez,F,2026-01-06,38.76,Antigua,Education
500102,Oscar Solis,M,2026-01-28,444.17,Quetzaltenango,Food
500103,Diana Aguilar,M,2026-02-19,87.29,Mixco,Retail
500104,Diana Rojas,M,2026-02-11,58.7,Villa Nueva,Retail
500105,Carlos Herrera,F,2026-02-21,346.38,Amatitlan,Food
500106,Carlos Mazariegos,F,2026-01-04,311.41,Chimaltenango,Retail
500107,Fernando Mazariegos,M,2026-01-30,455.9,Mixco,Education
500108,Karla Reyes,M,2026-01-03,185.48,Guatemala,Education
500109,Carmen Torres,M,2026-01-12,222.59,Villa Nueva,Food
500110,Ana Aguilar,M,2026-02-20,2.1,Amatitlan,Food
500111,Luis Reyes,F,2026-01-05,274.75,Mixco,Retail
500112,Carmen Hernandez,M,2026-02-05,128.04,Escuintla,Food
500113,Hector Reyes,F,2026-01-02,374.68,Mixco,Education
500114,Hector Solis,M,2026-01-19,266.77,Villa Nueva,Food
500115,Elena Molina,M,2026-02-25,430.56,Guatemala,Food
500116,Carmen Cruz,M,2026-01-20,162.9,Chimaltenango,Retail
500117,Valeria Vargas,F,2026-01-19,386.52,Guatemala,Education
500118,Carlos Solis,M,2026-01-06,103.43,Amatitlan,Food
500119,Kevin Perez,F,2026-02-16,2.96,Amatitlan,Food
500120,Laura Vargas,M,2026-01-11,239.77,Amatitlan,Retail
500121,Miguel Herrera,M,2026-01-30,6.28,Mixco,Food
500122,Rene Lopez,F,2026-01-02,87.19,Antigua,Education
500123,Gabriela Paz,M,2026-01-02,253.74,Villa Nueva,Services
500124,Andrea Diaz,M,2026-02-20,69.2,Mixco,Services
500125,Daniel Gomez,M,2026-01-01,142.91,Mixco,Education
500126,Andrea Solis,F,2026-01-28,238.43,Guatemala,Education
500127,Rene Castillo,F,2026-01-26,462.14,Villa Nueva,Education
500128,Rene Herrera,No especificado,2026-01-08,112.15,Quetzaltenango,Education
500129,Elena Reyes,F,2026-02-08,115.06,Amatitlan,Education
500130,Daniel Mejia,F,2026-02-14,463.4,Escuintla,Retail
500131,Hector Molina,F,2026-03-01,100.01,Guatemala,Services
500132,Juan Reyes,F,2026-01-12,361.6,Escuintla,Retail
500133,Oscar Diaz,F,2026-02-25,13.25,Amatitlan,Food
500134,Isabel Molina,F,2026-01-04,271.81,Guatemala,Food
500135,Sofia Diaz,M,2026-01-09,153.59,Antigua,Food
500136,Hector Solis,F,2026-02-05,146.85,Chimaltenango,Services
500137,Pablo Mendez,F,2026-02-22,100.55,Villa Nueva,Services
500138,Pedro Diaz,F,2026-02-23,85.89,Villa Nueva,Services
500139,Paola Molina,M,2026-02-14,157.35,Quetzaltenango,Education
500140,Oscar Mejia,M,2026-01-02,57.32,Amatitlan,Education
500141,Gabriela Ortega,F,2026-01-26,88.5,Amatitlan,Services
500142,Pablo Mejia,F,2026-02-18,255.14,Antigua,Food
500143,Gustavo Nunez,F,2026-02-01,71.7,Escuintla,Services
500144,Miguel Ramirez,M,2026-01-12,274.15,Antigua,Services
500145,Monica Alvarez,M,2026-02-10,305.75,Amatitlan,Retail
500146,Pedro Mejia,No especificado,2026-01-06,409.07,Antigua,Retail
500147,Juan Mazariegos,M,2026-02-11,218.49,Chimaltenango,Food
500148,Monica Mazariegos,F,2026-01-02,192.08,No especificado,Food
500149,Karla Cruz,M,2026-01-22,485.32,Mixco,Services
500150,Kevin Reyes,M,2026-01-18,255.14,Amatitlan,Food
500151,Hector Aguilar,F,2026-02-26,3.41,Escuintla,Food
500152,Ana Nunez,M,2026-02-13,211.96,Antigua,Services
500153,Gustavo Ramirez,F,2026-02-09,243.53,Guatemala,Education
500154,Oscar Castillo,No especificado,2026-01-30,303.87,Quetzaltenango,Food
500155,Fernando Solis,F,2026-01-18,270.69,Quetzaltenango,Retail
500156,Karla Alvarez,M,2026-02-21,247.22,Villa Nueva,Education
500157,Sofia Mazariegos,M,2026-02-26,477.11,Quetzaltenango,Retail
500158,Monica Ruiz,M,2026-01-14,292.31,Escuintla,Retail
500159,Sofia Lopez,M,2026-01-15,172.22,Quetzaltenango,Retail
500160,Sofia Nunez,F,2026-01-19,168.37,Chimaltenango,Retail
500161,Pedro Hernandez,M,2026-01-29,455.5,Villa Nueva,Education
500162,Isabel Dominguez,F,2026-01-16,18.4,Mixco,Retail
500163,Sofia Paz,M,2026-01-25,480.04,Mixco,Food
500164,Luis Ramirez,M,2026-02-28,152.52,Antigua,Education
500165,Andrea Gomez,F,2026-01-23,486.4,Villa Nueva,Retail
500166,Fernando Dominguez,M,2026-02-26,253.74,No especificado,Services
500167,Sofia Flores,M,2026-01-31,499.47,Villa Nueva,Retail
500168,Rene Mendez,F,2026-01-21,64.46,Chimaltenango,Food
500169,Gustavo Paz,M,2026-02-26,346.41,Amatitlan,Education
500170,Kevin Lima,No especificado,2026-01-27,143.26,Chimaltenango,Retail
500171,Miguel Morales,M,2026-02-16,463.33,No especificado,Services
500172,Patricia Aguilar,M,2026-01-19,275.96,Chimaltenango,Education
500173,Ricardo Vargas,M,2026-03-01,15.84,Villa Nueva,Services
500174,Maria Dominguez,M,2026-02-14,495.6,Guatemala,Services
500175,Fernando Dominguez,F,2026-02-22,250.28,Quetzaltenango,Retail
500176,Karla Ramirez,M,2026-01-03,29.89,Chimaltenango,Food
500177,Fernando Perez,F,2026-01-07,186.28,Mixco,Food
500178,Jose Reyes,M,2026-01-05,477.94,Escuintla,Food
500179,Juan Lopez,M,2026-02-01,247.22,Amatitlan,Education
500180,Oscar Rojas,M,2026-01-25,430.47,Mixco,Education
500181,Valeria Cruz,M,2026-02-28,84.69,Guatemala,Services
500182,Andrea Alvarez,F,2026-01-15,303.45,Escuintla,Retail
500183,Daniel Vargas,M,2026-01-11,232.74,Amatitlan,Education
500184,Gabriela Cruz,M,2026-02-20,217.83,Guatemala,Education
500185,Daniel Rojas,M,2026-01-19,255.14,Mixco,Food
500186,Sofia Ruiz,F,2026-02-14,308.78,Villa Nueva,Education
500187,Patricia Alvarez,M,2026-01-18,46.18,Escuintla,Food
500188,Carlos Nunez,F,2026-02-02,436.8,Villa Nueva,Retail
500189,Miguel Vargas,M,2026-01-05,398.19,Chimaltenango,Education
500190,Oscar Ortega,F,2026-02-09,250.28,Quetzaltenango,Retail
500191,Pablo Ruiz,F,2026-02-24,293.58,Escuintla,Food
500192,Elena Cruz,F,2026-02-11,206.33,Guatemala,Food
500193,Andrea Molina,F,2026-02-22,145.39,No especificado,Food
500194,Daniel Solis,M,2026-02-16,36.35,No especificado,Education
500195,Carlos Lopez,F,2026-02-04,94.1,Antigua,Education
500196,Gabriela Dominguez,F,2026-02-25,82.97,Antigua,Food
500197,Fernando Torres,M,2026-01-29,373.71,Antigua,Retail
500198,Daniel Rojas,M,2026-01-09,439.75,Villa Nueva,Food
500199,Rene Ruiz,F,2026-02-03,304.34,Guatemala,Services
500200,Sofia Ramirez,M,2026-02-07,354.3,No especificado,Services
500201,Pablo Lopez,F,2026-01-11,280.25,Villa Nueva,Retail
500202,Carlos Gomez,F,2026-01-09,249.42,Mixco,Services
500203,Carmen Soto,F,2026-02-09,342.38,Amatitlan,Retail
500204,Karla Flores,M,2026-01-27,253.74,Villa Nueva,Services
500205,Kevin Castillo,M,2026-01-29,253.74,Mixco,Services
500206,Oscar Morales,No especificado,2026-02-17,311.75,Escuintla,Food
500207,Carmen Torres,M,2026-02-11,470.45,Antigua,Education
500208,Laura Reyes,F,2026-02-23,426.53,Amatitlan,Food
500209,Ana Lopez,F,2026-01-11,16.77,Escuintla,Food
500210,Elena Castillo,M,2026-02-15,474.26,Villa Nueva,Retail
500211,Pedro Solis,M,2026-02-02,310.47,Escuintla,Education
500212,Daniel Dominguez,F,2026-01-03,83.42,Mixco,Education
500213,Monica Molina,F,2026-01-05,103.2,Guatemala,Services
500214,Kevin Dominguez,F,2026-01-22,109.23,Villa Nueva,Retail
500215,Sofia Lopez,M,2026-02-08,144.4,No especificado,Retail
500216,Gustavo Castillo,F,2026-01-10,200.1,Amatitlan,Education
500217,Elena Ortega,F,2026-02-02,168.45,Villa Nueva,Services
500218,Rene Vargas,M,2026-03-01,210.79,Chimaltenango,Food
500219,Karla Castillo,M,2026-01-09,446.32,Villa Nueva,Retail
500220,Fernando Fuentes,M,2026-01-09,300.3,Quetzaltenango,Retail
500221,Kevin Reyes,F,2026-02-27,29.68,Escuintla,Food
500222,Luis Lima,M,2026-01-15,249.06,Mixco,Services
500223,Pablo Dominguez,F,2026-02-22,429.81,Chimaltenango,Services
500224,Rene Morales,F,2026-01-22,455.51,Guatemala,Education
500225,Valeria Ruiz,F,2026-02-15,336.82,Quetzaltenango,Retail
500226,Luis Castillo,F,2026-01-04,250.64,Escuintla,Education
500227,Gabriela Paz,M,2026-02-07,401.9,Villa Nueva,Retail
500228,Elena Flores,M,2026-02-22,2.02,Escuintla,Education
500229,Carlos Morales,M,2026-01-21,82.15,Antigua,Education
500230,Miguel Nunez,M,2026-02-08,155.38,Quetzaltenango,Education
500231,Patricia Vargas,M,2026-01-13,382.4,Amatitlan,Education
500232,Luis Rojas,M,2026-01-10,82.48,Villa Nueva,Education
500233,Ricardo Mejia,M,2026-01-01,306.01,Chimaltenango,Food
500234,Jose Mejia,F,2026-01-30,451.13,Antigua,Retail
500235,Carlos Morales,M,2026-02-01,315.38,Escuintla,Retail
500236,Oscar Fuentes,M,2026-01-05,116.82,Antigua,Education
500237,Pablo Aguilar,F,2026-01-14,17.08,Chimaltenango,Food
500238,Sofia Diaz,M,2026-02-06,194.0,Amatitlan,Retail
500239,Daniel Castillo,F,2026-01-22,354.52,Villa Nueva,Food
500240,Carlos Vargas,F,2026-01-14,156.17,Escuintla,Services
500241,Daniel Mazariegos,M,2026-01-01,240.19,Villa Nueva,Education
500242,Miguel Molina,M,2026-01-03,255.14,Antigua,Food
500243,Andrea Morales,M,2026-02-08,131.6,Amatitlan,Food
500244,Gustavo Molina,F,2026-01-07,352.4,Chimaltenango,Food
500245,Monica Cruz,M,2026-02-20,281.22,Mixco,Retail
500246,Pablo Hernandez,M,2026-02-03,430.65,Antigua,Retail
500247,Hector Cruz,F,2026-01-16,200.01,Villa Nueva,Education
500248,Rene Paz,F,2026-02-08,262.13,Mixco,Retail
500249,Hector Herrera,M,2026-01-10,329.83,Villa Nueva,Food
500250,Patricia Diaz,F,2026-01-20,169.39,Escuintla,Retail
500251,Gustavo Ortega,F,2026-01-30,349.7,Escuintla,Education
500252,Kevin Solis,M,2026-02-08,342.74,Escuintla,Retail
500253,Karla Mejia,F,2026-01-09,487.73,Mixco,Food
500254,Maria Hernandez,M,2026-01-22,250.28,Antigua,Retail
500255,Gabriela Solis,F,2026-01-06,254.78,No especificado,Services
500256,Kevin Solis,M,2026-01-08,461.92,Guatemala,Services
500257,Andrea Paz,M,2026-01-14,175.2,Villa Nueva,Education
500258,Miguel Alvarez,M,2026-01-19,345.69,Amatitlan,Education
500259,Luis Lopez,M,2026-02-24,378.38,Guatemala,Retail
500260,Jose Diaz,F,2026-01-24,220.75,Villa Nueva,Retail
500261,Luis Cruz,F,2026-01-07,48.18,Escuintla,Services
500262,Sofia Mejia,F,2026-02-24,99.92,Amatitlan,Food
500263,Carlos Reyes,F,2026-02-04,21.64,Guatemala,Services
500264,Fernando Morales,F,2026-01-07,388.03,Quetzaltenango,Retail
500265,Jose Perez,M,2026-01-05,303.99,Villa Nueva,Education
500266,Fernando Cruz,M,2026-01-06,403.02,Guatemala,Services
500267,Gabriela Molina,F,2026-02-24,174.14,Amatitlan,Food
500268,Ricardo Solis,M,2026-02-03,256.8,Antigua,Services
500269,Juan Perez,F,2026-02-10,3.17,Quetzaltenango,Services
500270,Rene Mendez,F,2026-02-27,142.21,Antigua,Services
500271,Oscar Nunez,F,2026-01-25,447.23,Amatitlan,Education
500272,Pedro Herrera,F,2026-02-24,430.61,Guatemala,Retail
500273,Hector Reyes,No especificado,2026-01-25,280.42,Quetzaltenango,Services
500274,Isabel Flores,F,2026-02-12,487.54,Antigua,Education
500275,Gabriela Ramirez,F,2026-02-19,193.93,Quetzaltenango,Food
500276,Sofia Mejia,F,2026-01-05,53.68,Guatemala,Retail
500277,Isabel Mazariegos,F,2026-02-14,461.63,Quetzaltenango,Retail
500278,Paola Solis,No especificado,2026-02-18,247.22,Quetzaltenango,Education
500279,Daniel Hernandez,F,2026-02-28,406.72,Amatitlan,Services
500280,Carmen Dominguez,F,2026-02-11,262.86,Guatemala,Retail
500281,Gabriela Lima,F,2026-01-30,255.14,Escuintla,Food
500282,Paola Mazariegos,F,2026-01-09,274.24,Chimaltenango,Retail
500283,Carmen Diaz,M,2026-02-16,164.41,Quetzaltenango,Retail
500284,Carlos Molina,F,2026-01-28,202.64,Amatitlan,Education
500285,Gabriela Castillo,F,2026-02-18,255.14,Escuintla,Food
500286,Pedro Flores,M,2026-01-03,459.99,Escuintla,Retail
500287,Laura Mazariegos,F,2026-01-21,300.77,Escuintla,Food
500288,Daniel Gomez,M,2026-02-18,96.99,Villa Nueva,Services
500289,Rene Reyes,M,2026-02-06,294.94,Villa Nueva,Food
500290,Elena Ramirez,F,2026-02-13,6.17,No especificado,Education
500291,Andrea Mendez,M,2026-02-05,301.38,Mixco,Food
500292,Isabel Lima,F,2026-02-18,262.31,Mixco,Food
500293,Juan Flores,M,2026-02-19,322.83,Villa Nueva,Education
500294,Patricia Cruz,M,2026-02-15,374.59,No especificado,Services
500295,Valeria Dominguez,M,2026-02-09,321.42,Escuintla,Services
500296,Oscar Fuentes,M,2026-01-17,103.33,Escuintla,Education
500297,Sofia Diaz,F,2026-01-05,30.99,Guatemala,Retail
500298,Luis Fuentes,F,2026-02-17,22.61,Antigua,Services
500299,Laura Soto,F,2026-01-22,244.22,Escuintla,Education
500300,Maria Gomez,F,2026-01-15,149.21,Quetzaltenango,Food
500301,Jose Cruz,M,2026-01-01,442.33,Chimaltenango,Retail
500302,Rene Torres,F,2026-01-09,276.74,Amatitlan,Education
500303,Kevin Hernandez,F,2026-01-03,319.35,Amatitlan,Food
500304,Andrea Morales,F,2026-01-24,9.17,Villa Nueva,Education
500305,Luis Ruiz,M,2026-01-18,236.12,Antigua,Education
500306,Oscar Vargas,F,2026-01-30,358.05,Guatemala,Retail
500307,Miguel Lopez,F,2026-02-04,483.25,Chimaltenango,Education
500308,Karla Mejia,M,2026-01-18,276.31,Quetzaltenango,Food
500309,Ana Perez,F,2026-02-02,301.1,Amatitlan,Food
500310,Juan Soto,F,2026-02-06,261.96,Antigua,Food
500311,Ana Vargas,M,2026-02-10,19.61,Villa Nueva,Retail
500312,Carmen Vargas,M,2026-02-06,420.73,Chimaltenango,Services
500313,Karla Nunez,M,2026-01-03,184.23,Villa Nueva,Food
500314,Fernando Cruz,M,2026-01-15,99.98,Mixco,Services
500315,Paola Perez,F,2026-02-17,438.54,Villa Nueva,Services
500316,Laura Diaz,F,2026-02-07,431.01,Amatitlan,Services
500317,Isabel Diaz,M,2026-01-18,253.74,Amatitlan,Services
500318,Kevin Cruz,F,2026-01-22,219.74,Quetzaltenango,Retail
500319,Sofia Cruz,F,2026-02-25,72.05,Mixco,Services
500320,Gustavo Solis,F,2026-02-14,359.37,Villa Nueva,Food
500321,Gabriela Rojas,F,2026-01-23,67.72,Villa Nueva,Education
500322,Luis Flores,M,2026-01-18,421.09,Antigua,Education
500323,Sofia Solis,M,2026-01-08,167.49,No especificado,Food
500324,Jose Dominguez,M,2026-02-17,146.06,Escuintla,Education
500325,Fernando Nunez,F,2026-02-07,259.36,Mixco,Retail
500326,Miguel Herrera,F,2026-01-25,327.16,Escuintla,Food
500327,Sofia Morales,F,2026-02-11,150.91,Chimaltenango,Services
500328,Carlos Cruz,F,2026-02-03,498.95,Quetzaltenango,Food
500329,Ricardo Solis,F,2026-02-01,255.14,Chimaltenango,Food
500330,Pedro Torres,F,2026-02-10,114.35,Villa Nueva,Retail
500331,Pablo Ramirez,M,2026-02-15,150.35,Villa Nueva,Services
500332,Kevin Dominguez,F,2026-02-01,361.85,Amatitlan,Education
500333,Andrea Hernandez,M,2026-01-25,470.67,Chimaltenango,Services
500334,Patricia Alvarez,M,2026-01-16,417.78,Guatemala,Services
500335,Rene Gomez,M,2026-01-19,177.96,Quetzaltenango,Retail
500336,Miguel Soto,M,2026-02-28,137.58,Escuintla,Services
500337,Diana Aguilar,M,2026-01-12,190.07,Antigua,Education
500338,Paola Lima,M,2026-01-06,353.74,Quetzaltenango,Food
500339,Jose Soto,F,2026-02-07,426.33,Antigua,Services
500340,Isabel Nunez,F,2026-01-20,266.65,Amatitlan,Services
500341,Gustavo Soto,F,2026-01-06,344.69,Escuintla,Food
500342,Diana Rojas,No especificado,2026-02-02,247.22,Villa Nueva,Education
500343,Ana Mendez,M,2026-02-14,128.16,Quetzaltenango,Retail
500344,Ana Soto,F,2026-01-02,247.22,Guatemala,Education
500345,Gabriela Vargas,F,2026-01-30,414.99,No especificado,Education
500346,Kevin Vargas,F,2026-01-10,288.52,Escuintla,Services
500347,Gustavo Lopez,M,2026-02-04,477.55,Guatemala,Food
500348,Gabriela Ruiz,F,2026-02-17,367.55,Escuintla,Food
500349,Kevin Dominguez,F,2026-02-18,4.2,Chimaltenango,Food
500350,Laura Castillo,F,2026-02-17,189.38,No especificado,Retail
500351,Andrea Lopez,F,2026-01-18,247.22,No especificado,Education
500352,Gabriela Morales,F,2026-02-08,165.47,Chimaltenango,Education
500353,Pedro Solis,F,2026-02-08,407.99,Guatemala,Services
500354,Kevin Vargas,M,2026-02-24,419.12,Quetzaltenango,Food
500355,Monica Herrera,F,2026-02-11,299.84,Villa Nueva,Education
500356,Paola Ruiz,M,2026-02-15,444.72,Villa Nueva,Services
500357,Andrea Aguilar,F,2026-01-06,253.74,Mixco,Services
500358,Pablo Mendez,F,2026-01-18,94.47,Quetzaltenango,Food
500359,Oscar Diaz,F,2026-01-23,255.14,Antigua,Food
500360,Jose Ortega,F,2026-02-08,140.4,Villa Nueva,Retail
500361,Karla Lopez,F,2026-02-22,35.46,Antigua,Education
500362,Andrea Reyes,F,2026-01-21,89.94,Amatitlan,Retail
500363,Laura Molina,M,2026-01-30,173.17,Mixco,Food
500364,Pablo Paz,F,2026-02-14,109.41,Escuintla,Food
500365,Elena Molina,F,2026-01-12,442.07,Mixco,Food
500366,Andrea Mendez,F,2026-01-24,493.45,Chimaltenango,Retail
500367,Sofia Molina,F,2026-01-12,197.8,No especificado,Food
500368,Valeria Reyes,M,2026-01-10,266.81,Quetzaltenango,Retail
500369,Valeria Torres,F,2026-02-11,341.01,Guatemala,Services
500370,Gabriela Molina,F,2026-02-22,140.13,Mixco,Food
500371,Pedro Ruiz,No especificado,2026-01-09,110.24,Amatitlan,Retail
500372,Maria Alvarez,F,2026-02-11,0.39,Quetzaltenango,Services
500373,Gustavo Mazariegos,F,2026-02-11,255.14,Guatemala,Food
500374,Paola Lopez,M,2026-02-14,6.64,Antigua,Retail
500375,Andrea Lima,F,2026-02-12,183.35,Villa Nueva,Retail
500376,Miguel Molina,M,2026-02-03,425.21,Antigua,Education
500377,Andrea Rojas,M,2026-01-07,16.83,Antigua,Food
500378,Rene Flores,M,2026-02-16,140.1,Quetzaltenango,Education
500379,Gustavo Castillo,M,2026-01-12,184.06,Mixco,Retail
500380,Paola Ramirez,F,2026-01-27,191.38,Guatemala,Food
500381,Diana Cruz,F,2026-02-27,250.28,Villa Nueva,Retail
500382,Jose Hernandez,M,2026-02-03,420.71,Quetzaltenango,Food
500383,Luis Soto,M,2026-01-18,325.54,Escuintla,Services
500384,Paola Torres,M,2026-01-04,31.87,Guatemala,Education
500385,Rene Ortega,F,2026-01-16,253.74,Escuintla,Services
500386,Kevin Reyes,M,2026-02-03,101.78,Escuintla,Education
500387,Jose Diaz,M,2026-02-21,225.44,Chimaltenango,Retail
500388,Juan Herrera,F,2026-02-18,202.47,No especificado,Education
500389,Juan Castillo,F,2026-01-13,67.74,No especificado,Education
500390,Andrea Mazariegos,F,2026-02-12,417.45,Quetzaltenango,Services
500391,Andrea Torres,F,2026-02-08,27.14,Mixco,Retail
500392,Isabel Alvarez,F,2026-02-18,396.81,No especificado,Education
500393,Karla Mendez,M,2026-01-30,277.69,Quetzaltenango,Food
500394,Patricia Lopez,F,2026-01-30,139.67,Antigua,Services
500395,Paola Rojas,F,2026-01-26,376.14,Guatemala,Retail
500396,Valeria Lopez,M,2026-02-22,355.53,Mixco,Food
500397,Daniel Solis,F,2026-02-01,101.1,Villa Nueva,Services
500398,Carmen Torres,M,2026-01-07,360.6,Mixco,Retail
500399,Karla Torres,F,2026-01-31,61.33,No especificado,Services
500400,Ricardo Dominguez,M,2026-02-22,415.95,Guatemala,Education
500401,Carmen Hernandez,F,2026-02-20,152.12,Mixco,Food
